league,team
Premier League,Chelsea
Premier League,Everton
Premier League,Liverpool
Premier League,Brighton
Premier League,Burnley
Premier League,Fulham
Premier League,Arsenal
Premier League,Wolves
Premier League,Sunderland
Premier League,Newcastle
Premier League,West Ham
Premier League,Aston Villa
Premier League,Crystal Palace
Premier League,Manchester City
Premier League,Nottingham Forest
Premier League,Tottenham
Premier League,Brentford
Premier League,Leeds
Premier League,Manchester United
Premier League,Bournemouth
LaLiga,Real Sociedad
LaLiga,Girona
LaLiga,Atletico Madrid
LaLiga,Valencia
LaLiga,Mallorca
LaLiga,Elche
LaLiga,Barcelona
LaLiga,Osasuna
LaLiga,Getafe
LaLiga,Espanyol
LaLiga,Sevilla
LaLiga,Oviedo
LaLiga,Celta
LaLiga,Athletic Bilbao
LaLiga,Levante
LaLiga,Villarreal
LaLiga,Alavés
LaLiga,Real Madrid
LaLiga,Rayo Vallecano
LaLiga,Betis
Serie A,Lecce
Serie A,Pisa
Serie A,Torino
Serie A,Cremonese
Serie A,Parma
Serie A,Lazio
Serie A,Atalanta
Serie A,Cagliari
Serie A,Milan
Serie A,Sassuolo
Serie A,Udinese
Serie A,Napoli
Serie A,Fiorentina
Serie A,Verona
Serie A,Genoa
Serie A,Inter
Serie A,Bologna
Serie A,Juventus
Serie A,Roma
Serie A,Como
Bundesliga,Union Berlin
Bundesliga,Leipzig
Bundesliga,Eintracht Frankfurt
Bundesliga,Augsburg
Bundesliga,Gladbach
Bundesliga,Wolfsburg
Bundesliga,St. Pauli
Bundesliga,Heidenheim
Bundesliga,Hoffenheim
Bundesliga,Hamburg
Bundesliga,Leverkusen
Bundesliga,Koln
Bundesliga,Freiburg
Bundesliga,Dortmund
Bundesliga,Bayern Munich
Bundesliga,Mainz
Bundesliga,Werder Bremen
Bundesliga,Stuttgart
Greek Super League,Levadiakos
Greek Super League,AEL
Greek Super League,OFI
Greek Super League,Panserraikos
Greek Super League,Kifisia
Greek Super League,Asteras Tripolis
Greek Super League,Panaitolikos
Greek Super League,AEK
Greek Super League,Atromitos
Greek Super League,PAOK
Greek Super League,Aris
Greek Super League,Olympiakos
Greek Super League,Panathinaikos
Greek Super League,NPS Volos
Ligue 1,Angers
Ligue 1,Nantes
Ligue 1,Rennes
Ligue 1,Brest
Ligue 1,Metz
Ligue 1,Paris Saint-Germain
Ligue 1,Paris FC
Ligue 1,Toulouse
Ligue 1,Lyon
Ligue 1,Havre
Ligue 1,Lens
Ligue 1,Nice
Ligue 1,Strasbourg
Ligue 1,Lorient
Ligue 1,Auxerre
Ligue 1,Lille
Ligue 1,Marseille
Ligue 1,Monaco
